Year,Jurisdiction,Cause,Area (hectares),Number
2019,Saskatchewan,Lightning,46622.2,72
1990,Yukon,Human activity,1412.99,81
1990,Yukon,Lightning,181478.93,73
1991,Yukon,Human activity,805.14,62
1991,Yukon,Lightning,119465.68,125
1992,Yukon,Human activity,5998.23,48
1992,Yukon,Lightning,31816.84,68
1993,Yukon,Human activity,56.58,59
1993,Yukon,Lightning,115047.73,77
1994,Yukon,Human activity,29.37,70
1994,Yukon,Lightning,421681.02,185
1995,Yukon,Human activity,389.76,71
1995,Yukon,Lightning,260989.98,76
1996,Yukon,Human activity,15040.38,66
1996,Yukon,Lightning,76026.75,83
1997,Yukon,Human activity,78.81,69
1997,Yukon,Lightning,11391.24,43
1998,Yukon,Human activity,63760.73,110
1998,Yukon,Lightning,279911.67,87
1999,Yukon,Human activity,3280.24,40
1999,Yukon,Lightning,191536.24,119
2000,Yukon,Human activity,10.33,31
2000,Yukon,Lightning,7642.53,23
2001,Yukon,Human activity,6.82,18
2001,Yukon,Lightning,17327.66,50
2002,Yukon,Human activity,22.66,38
2002,Yukon,Lightning,36181.45,31
2003,Yukon,Human activity,2940.47,48
2003,Yukon,Lightning,45844.86,29
2004,Yukon,Human activity,11631.47,33
2004,Yukon,Lightning,1708032.62,249
2005,Yukon,Human activity,1.51,26
2005,Yukon,Lightning,187436.83,57
2006,Yukon,Human activity,4.04,26
2006,Yukon,Lightning,95029.3,54
2007,Yukon,Human activity,13989.01,20
2007,Yukon,Lightning,23718.75,90
2008,Yukon,Human activity,11.83,27
2008,Yukon,Lightning,13056.05,49
2009,Yukon,Human activity,3.23,33
2009,Yukon,Lightning,230509.12,85
2010,Yukon,Human activity,5261.48,38
2010,Yukon,Lightning,141701.69,50
2011,Yukon,Human activity,119.88,16
2011,Yukon,Lightning,40344.45,40
2012,Yukon,Human activity,6.47,34
2012,Yukon,Lightning,58273.73,92
2013,Yukon,Human activity,6.45,21
2013,Yukon,Lightning,198307.34,156
2014,Yukon,Human activity,23.581,18
2014,Yukon,Lightning,3137.013,16
2015,Yukon,Human activity,41.9,24
2015,Yukon,Lightning,169799.71,161
2016,Yukon,Human activity,2.28,24
2016,Yukon,Lightning,21535.12,29
2017,Yukon,Human activity,18.7,22
2017,Yukon,Lightning,399261.45,93
2018,Yukon,Human activity,6487.33,18
2018,Yukon,Lightning,74098.16,33
2019,Yukon,Human activity,1331.3,33
2019,Yukon,Lightning,254705.32,84
