,Year,Jurisdiction,Month,Area (hectares),Number,ONI,Phase,DateTime,MeanNum,MeanArea,anomalyArea,anomalyNumber
21,1990,Northwest Territories,June,3838.41,98,0.31,N,1990-06-01,74.3,296274.0203466667,-4.346226552149298,0.2768565269468585
22,1990,Northwest Territories,July,100678.28,113,0.33,N,1990-07-01,116.16666666666667,270865.54480666673,-0.9896924668431565,-0.027638122820128393
23,1990,Northwest Territories,August,45.56,13,0.38,N,1990-08-01,37.36666666666667,34038.66033333333,-6.616222087673867,-1.0558296839484678
24,1990,Nova Scotia,May,262.61,134,0.29,N,1990-05-01,86.6,185.45746667033328,0.3478444763051999,0.436539984382522
25,1990,Nova Scotia,June,574.01,58,0.31,N,1990-06-01,33.53333333333333,148.04179999833335,1.3551521514618414,0.5479030415488902
26,1990,Nova Scotia,July,26.91,74,0.33,N,1990-07-01,30.866666666666667,34.10286666516667,-0.2368834824444478,0.8743882402201458
27,1990,Nova Scotia,August,29.01,62,0.38,N,1990-08-01,28.566666666666666,28.31560000083334,0.024227708580740408,0.7748938481094672
28,1990,Ontario,May,5914.7,242,0.29,N,1990-05-01,178.96666666666667,21420.913333643322,-1.2869269257711133,0.3017381573962723
29,1990,Ontario,June,2118.9,111,0.31,N,1990-06-01,214.43333333333334,73529.24666674131,-3.5467861548044426,-0.6584686884365109
30,1990,Ontario,July,131454.3,237,0.33,N,1990-07-01,273.73333333333335,45599.263333547664,1.0587677012748915,-0.14409425534153764
31,1990,Ontario,August,41511.5,543,0.38,N,1990-08-01,282.8,15268.00333374793,1.000211144051279,0.6523693859115177
36,1990,Quebec,May,5704.5,214,0.29,N,1990-05-01,172.46666666666667,34188.71666666667,-1.7906403305507363,0.21577203393803232
37,1990,Quebec,June,2917.0,139,0.31,N,1990-06-01,176.83333333333334,159924.09999999998,-4.004143636796826,-0.2407337362552364
38,1990,Quebec,July,51866.5,178,0.33,N,1990-07-01,126.86666666666666,64893.493333333354,-0.2240742521752442,0.3386468840981458
39,1990,Quebec,August,22719.0,138,0.38,N,1990-08-01,114.7,13285.800000000001,0.536505783109761,0.18493366102187975
40,1990,Saskatchewan,May,689.1663161,103,0.29,N,1990-05-01,132.0,82480.8007005367,-4.784838196910557,-0.2480729343567351
41,1990,Saskatchewan,June,17430.36934,275,0.31,N,1990-06-01,139.5,240441.73137799994,-2.62426372980854,0.6787064964051509
42,1990,Saskatchewan,July,36262.83544,130,0.33,N,1990-07-01,123.46666666666667,92916.68320466668,-0.9409098123614353,0.05156323635166772
43,1990,Saskatchewan,August,161417.1571,314,0.38,N,1990-08-01,92.06666666666666,61460.80761933333,0.9655923547366463,1.2268800336011714
44,1990,Yukon,May,4105.99,15,0.29,N,1990-05-01,17.133333333333333,14600.006000000001,-1.2685750565396365,-0.13297568269079968
45,1990,Yukon,June,145.12,19,0.31,N,1990-06-01,46.266666666666666,110718.75306666669,-6.637187522378864,-0.889982780238154
46,1990,Yukon,July,177619.77,69,0.33,N,1990-07-01,36.5,52139.65806666666,1.225719291431357,0.6367942440088136
47,1990,Yukon,August,931.61,32,0.38,N,1990-08-01,15.9,7316.592333333331,-2.060985698157027,0.6994167935735407
48,1991,Alberta,May,3467.6,197,0.45,N,1991-05-01,293.3,109081.34033333331,-3.448631133507198,-0.39799224724541693
49,1991,Alberta,June,87.2,111,0.64,E,1991-06-01,246.3,43903.09533333333,-6.221535774394671,-0.7970201038141581
50,1991,Alberta,July,115.4,119,0.73,E,1991-07-01,262.4,27698.73566666666,-5.480737693257073,-0.7907465639584045
51,1991,Alberta,August,784.1,234,0.64,E,1991-08-01,179.2,14241.275333333331,-2.8993631776439335,0.26681861481687147
52,1991,British Columbia,May,3840.3,193,0.45,N,1991-05-01,173.93333333333334,10548.055033333332,-1.0103909973481768,0.10401810487036725
53,1991,British Columbia,June,3411.8,291,0.64,E,1991-06-01,213.46666666666667,16654.6782,-1.5854511386696302,0.3098425747170425
54,1991,British Columbia,July,192.4,296,0.73,E,1991-07-01,490.9,97810.56520000003,-6.231211340586488,-0.5058809867399464
55,1991,British Columbia,August,9646.1,572,0.64,E,1991-08-01,646.1333333333333,39134.222799999996,-1.4004436590142166,-0.12186688945440843
56,1991,Manitoba,May,61853.6,75,0.45,N,1991-05-01,61.733333333333334,11219.75666666667,1.7070940900836111,0.19466407999234103
57,1991,Manitoba,June,582.2,77,0.64,E,1991-06-01,81.1,113683.52999999998,-5.274359783053356,-0.05187753926768334
58,1991,Manitoba,July,41440.5,142,0.73,E,1991-07-01,96.83333333333333,65655.53333333334,-0.46016321903310264,0.3828357699774046
59,1991,Manitoba,August,23712.6,222,0.64,E,1991-08-01,69.0,21649.239999999998,0.09103620253102462,1.16857087727502
60,1991,New Brunswick,May,216.2,154,0.45,N,1991-05-01,101.36666666666666,324.7366666666666,-0.40681069227922484,0.41820829639842
61,1991,New Brunswick,June,2993.5,150,0.64,E,1991-06-01,48.666666666666664,407.5666666666666,1.9939940318833722,1.1256409610560292
62,1991,New Brunswick,July,56.8,141,0.73,E,1991-07-01,39.266666666666666,36.99666666666667,0.4287085072313271,1.2783839078287917
63,1991,New Brunswick,August,42.1,92,0.64,E,1991-08-01,47.3,32.88666666666667,0.2469804335508531,0.6652782815511531
64,1991,Newfoundland and Labrador,May,220.8,29,0.45,N,1991-05-01,28.866666666666667,340.4933333333334,-0.4331382319445388,0.004608303086194181
65,1991,Newfoundland and Labrador,June,6925.5,38,0.64,E,1991-06-01,23.233333333333334,3956.4066666666668,0.5598740457173551,0.4919981306280172
66,1991,Newfoundland and Labrador,July,99.4,12,0.73,E,1991-07-01,15.266666666666667,5015.961599999999,-3.921228313118532,-0.24076515266402934
67,1991,Newfoundland and Labrador,August,49142.6,32,0.64,E,1991-08-01,16.433333333333334,4493.5539393333365,2.392082363844586,0.6664241104191918
68,1991,Northwest Territories,May,7.61,5,0.45,N,1991-05-01,10.166666666666666,17611.68966666667,-7.746854974285068,-0.7096764825111558
69,1991,Northwest Territories,June,14135.78,59,0.64,E,1991-06-01,74.3,296274.0203466667,-3.042575598706399,-0.23057350781799404
70,1991,Northwest Territories,July,133586.08,149,0.73,E,1991-07-01,116.16666666666667,270865.54480666673,-0.7068764890769299,0.24892036441299015
71,1991,Northwest Territories,August,77736.2,117,0.64,E,1991-08-01,37.36666666666667,34038.66033333333,0.8258240960736551,1.1413948933877516
72,1991,Nova Scotia,May,464.96,174,0.45,N,1991-05-01,86.6,185.45746667033328,0.9191258148123246,0.6977554836461397
73,1991,Nova Scotia,June,241.79,145,0.64,E,1991-06-01,33.53333333333333,148.04179999833335,0.4905749145237614,1.4641937734230452
74,1991,Nova Scotia,July,646.95,162,0.73,E,1991-07-01,30.866666666666667,34.10286666516667,2.9428875645786996,1.65791948224836
75,1991,Nova Scotia,August,3.29,10,0.64,E,1991-08-01,28.566666666666666,28.31560000083334,-2.152525324775292,-1.0496554439415786
76,1991,Ontario,May,123712.3,231,0.45,N,1991-05-01,178.96666666666667,21420.913333643322,1.753591005167013,0.25521814176137947
77,1991,Ontario,June,37067.9,415,0.64,E,1991-06-01,214.43333333333334,73529.24666674131,-0.6849318749291712,0.6602796304818533
78,1991,Ontario,July,74602.7,586,0.73,E,1991-07-01,273.73333333333335,45599.263333547664,0.49228513816046626,0.7611653931003437
79,1991,Ontario,August,82190.5,944,0.64,E,1991-08-01,282.8,15268.00333374793,1.683280370375388,1.205386232123083
84,1991,Quebec,May,1415.6,220,0.45,N,1991-05-01,172.46666666666667,34188.71666666667,-3.184342198115852,0.2434235652685424
85,1991,Quebec,June,394184.9,408,0.64,E,1991-06-01,176.83333333333334,159924.09999999998,0.9021207608738212,0.8360595050182335
86,1991,Quebec,July,9732.9,318,0.73,E,1991-07-01,126.86666666666666,64893.493333333354,-1.8972354628115415,0.9189147165862376
87,1991,Quebec,August,32889.9,162,0.64,E,1991-08-01,114.7,13285.800000000001,0.9064698240684861,0.34527631109705903
88,1991,Saskatchewan,May,882.61,127,0.45,N,1991-05-01,132.0,82480.8007005367,-4.537437399526032,-0.038614836127779543
89,1991,Saskatchewan,June,713.52,75,0.64,E,1991-06-01,139.5,240441.73137799994,-5.820022590642619,-0.62057648772511
90,1991,Saskatchewan,July,43178.17,111,0.73,E,1991-07-01,123.46666666666667,92916.68320466668,-0.7663681686368947,-0.1064410127915805
91,1991,Saskatchewan,August,148441.32,272,0.64,E,1991-08-01,92.06666666666666,61460.80761933333,0.8817900314502763,1.0832891139889151
92,1991,Yukon,May,105.9,28,0.45,N,1991-05-01,17.133333333333333,14600.006000000001,-4.9262819660478865,0.4911786263821942
93,1991,Yukon,June,110310.6,109,0.64,E,1991-06-01,46.266666666666666,110718.75306666669,-0.003693206580302422,0.8569261228245493
94,1991,Yukon,July,9630.36,33,0.73,E,1991-07-01,36.5,52139.65806666666,-1.6890052422100688,-0.10080469912196564
95,1991,Yukon,August,217.73,9,0.64,E,1991-08-01,15.9,7316.592333333331,-3.5146442072660693,-0.5690945318899665
96,1992,Alberta,May,419.8,91,1.06,E,1992-05-01,293.3,109081.34033333331,-5.560070717115151,-1.1703364694665552
97,1992,Alberta,June,706.0,147,0.73,E,1992-06-01,246.3,43903.09533333333,-4.130124867816363,-0.516117718347756
98,1992,Alberta,July,268.0,221,0.37,N,1992-07-01,262.4,27698.73566666666,-4.638155066820215,-0.17170735555218108
99,1992,Alberta,August,494.8,339,0.09,N,1992-08-01,179.2,14241.275333333331,-3.359746100362477,0.6374976068396203
100,1992,British Columbia,May,6740.3,243,1.06,E,1992-05-01,173.93333333333334,10548.055033333332,-0.4478370515767989,0.3343893593060301
101,1992,British Columbia,June,5844.3,705,0.73,E,1992-06-01,213.46666666666667,16654.6782,-1.0472243226607811,1.1947171103578187
102,1992,British Columbia,July,11631.1,493,0.37,N,1992-07-01,490.9,97810.56520000003,-2.1293500548030067,0.004268732978683333
103,1992,British Columbia,August,4350.9,1803,0.09,N,1992-08-01,646.1333333333333,39134.222799999996,-2.196614627346582,1.026201342369111
104,1992,Manitoba,May,3461.2,76,1.06,E,1992-05-01,61.733333333333334,11219.75666666667,-1.1760608626460634,0.2079093067423617
105,1992,Manitoba,June,267155.1,45,0.73,E,1992-06-01,81.1,113683.52999999998,0.8544108532374712,-0.5890204713510475
106,1992,Manitoba,July,150466.9,57,0.37,N,1992-07-01,96.83333333333333,65655.53333333334,0.8293212438965754,-0.529940019789306
107,1992,Manitoba,August,11848.8,102,0.09,N,1992-08-01,69.0,21649.239999999998,-0.6027437532756189,0.3908663086870116
108,1992,New Brunswick,May,5160.0,345,1.06,E,1992-05-01,101.36666666666666,324.7366666666666,2.765677260991276,1.2248001110161506
109,1992,New Brunswick,June,58.7,78,0.73,E,1992-06-01,48.666666666666664,407.5666666666666,-1.9377647916479837,0.47171449364936513
110,1992,New Brunswick,July,9.7,24,0.37,N,1992-07-01,39.266666666666666,36.99666666666667,-1.3387019329864414,-0.49232215220143105
111,1992,New Brunswick,August,9.1,42,0.09,N,1992-08-01,47.3,32.88666666666667,-1.2847928936146782,-0.11884067721451891
112,1992,Newfoundland and Labrador,May,71.5,47,1.06,E,1992-05-01,28.866666666666667,340.4933333333334,-1.560698096647517,0.4874600748097788
113,1992,Newfoundland and Labrador,June,1275.5,15,0.73,E,1992-06-01,23.233333333333334,3956.4066666666668,-1.131997947315932,-0.4375378279961584
114,1992,Newfoundland and Labrador,July,385.9,13,0.37,N,1992-07-01,15.266666666666667,5015.961599999999,-2.5648021582374874,-0.16072244499049287
115,1992,Newfoundland and Labrador,August,64.8,26,0.09,N,1992-08-01,16.433333333333334,4493.5539393333365,-4.239093587525578,0.4587847456409473
116,1992,Northwest Territories,May,33.07,9,1.06,E,1992-05-01,10.166666666666666,17611.68966666667,-6.277691619164961,-0.12188981760903676
117,1992,Northwest Territories,June,9548.45,31,0.73,E,1992-06-01,74.3,296274.0203466667,-3.4349059328463336,-0.8741237472385672
118,1992,Northwest Territories,July,21961.16,130,0.37,N,1992-07-01,116.16666666666667,270865.54480666673,-2.512347114573039,0.11250850892311358
119,1992,Northwest Territories,August,5200.79,100,0.09,N,1992-08-01,37.36666666666667,34038.66033333333,-1.8786864101455485,0.9843911445780869
120,1992,Nova Scotia,May,424.62,138,1.06,E,1992-05-01,86.6,185.45746667033328,0.8283690857461549,0.46595386958881535
121,1992,Nova Scotia,June,614.59,46,0.73,E,1992-06-01,33.53333333333333,148.04179999833335,1.423460712510056,0.31610142749156583
122,1992,Nova Scotia,July,10.22,19,0.37,N,1992-07-01,30.866666666666667,34.10286666516667,-1.2050348624077036,-0.4852378738175836
123,1992,Nova Scotia,August,9.42,18,0.09,N,1992-08-01,28.566666666666666,28.31560000083334,-1.1005778009643006,-0.4618687790394597
124,1992,Ontario,May,3872.100001,347,1.06,E,1992-05-01,178.96666666666667,21420.913333643322,-1.7105707076176069,0.6621252111864451
125,1992,Ontario,June,171293.7,380,0.73,E,1992-06-01,214.43333333333334,73529.24666674131,0.8456963861652832,0.5721723629715865
126,1992,Ontario,July,91.20000008,60,0.37,N,1992-07-01,273.73333333333335,45599.263333547664,-6.214591942448446,-1.517809834254568
127,1992,Ontario,August,606.4000003,94,0.09,N,1992-08-01,282.8,15268.00333374793,-3.22597479739091,-1.1014451517524138
132,1992,Quebec,May,5558.6,405,1.06,E,1992-05-01,172.46666666666667,34188.71666666667,-1.8165493896102638,0.85368308602272
133,1992,Quebec,June,6758.9,180,0.73,E,1992-06-01,176.83333333333334,159924.09999999998,-3.163839172761673,0.01774918150428222
134,1992,Quebec,July,1230.3,54,0.37,N,1992-07-01,126.86666666666666,64893.493333333354,-3.9654893197946675,-0.854152619629665
135,1992,Quebec,August,13517.5,59,0.09,N,1992-08-01,114.7,13285.800000000001,0.01728934658398848,-0.6647825802296056
136,1992,Saskatchewan,May,5248.6,103,1.06,E,1992-05-01,132.0,82480.8007005367,-2.7546041731010567,-0.2480729343567351
137,1992,Saskatchewan,June,48404.86,151,0.73,E,1992-06-01,139.5,240441.73137799994,-1.6028775571137772,0.07921523555350402
138,1992,Saskatchewan,July,26474.31,150,0.37,N,1992-07-01,123.46666666666667,92916.68320466668,-1.2555283832687512,0.19466407999234103
139,1992,Saskatchewan,August,16697.33,215,0.09,N,1992-08-01,92.06666666666666,61460.80761933333,-1.3031508707834127,0.8481250758205808
140,1992,Yukon,May,8.65,9,1.06,E,1992-05-01,17.133333333333333,14600.006000000001,-7.431217897711459,-0.6438013064567903
141,1992,Yukon,June,32567.55,26,0.73,E,1992-06-01,46.266666666666666,110718.75306666669,-1.2236768359022547,-0.5763252213831125
142,1992,Yukon,July,5162.91,72,0.37,N,1992-07-01,36.5,52139.65806666666,-2.3124254764791026,0.6793538584276094
143,1992,Yukon,August,75.96,9,0.09,N,1992-08-01,15.9,7316.592333333331,-4.567693084386212,-0.5690945318899665
144,1993,Alberta,May,6474.5,241,0.7,E,1993-05-01,293.3,109081.34033333331,-2.8242224609927886,-0.19639904249275045
145,1993,Alberta,June,18539.4,314,0.57,E,1993-06-01,246.3,43903.09533333333,-0.8620866291729818,0.24284268078176116
146,1993,Alberta,July,127.3,108,0.32,N,1993-07-01,262.4,27698.73566666666,-5.382595541767711,-0.8877388299457142
147,1993,Alberta,August,284.6,35,0.25,N,1993-08-01,179.2,14241.275333333331,-3.9128150552250576,-1.6331544390514163
148,1993,British Columbia,May,910.9,322,0.7,E,1993-05-01,173.93333333333334,10548.055033333332,-2.4492636431275865,0.6158794615098899
149,1993,British Columbia,June,1108.1,189,0.57,E,1993-06-01,213.46666666666667,16654.6782,-2.7100443129737695,-0.12173367739480756
150,1993,British Columbia,July,233.4,153,0.32,N,1993-07-01,490.9,97810.56520000003,-6.038034158965638,-1.1658025196715713
151,1993,British Columbia,August,632.0,274,0.25,N,1993-08-01,646.1333333333333,39134.222799999996,-4.125863232434038,-0.8578777744461361
152,1993,Manitoba,May,905.8,67,0.7,E,1993-05-01,61.733333333333334,11219.75666666667,-2.5166129602565337,0.08186858584699674
153,1993,Manitoba,June,62061.7,97,0.57,E,1993-06-01,81.1,113683.52999999998,-0.605289483892052,0.17902801738201568
154,1993,Manitoba,July,2340.1,24,0.32,N,1993-07-01,96.83333333333333,65655.53333333334,-3.3342282190493777,-1.3949374572759106
155,1993,Manitoba,August,2.6,6,0.25,N,1993-08-01,69.0,21649.239999999998,-9.027214183860945,-2.4423470353692043
156,1993,New Brunswick,May,294.3,195,0.7,E,1993-05-01,101.36666666666666,324.7366666666666,-0.0984149422449055,0.6542552525485376
157,1993,New Brunswick,June,8.4,40,0.57,E,1993-06-01,48.666666666666664,407.5666666666666,-3.8819728126327666,-0.19611487892629037
158,1993,New Brunswick,July,324.1,32,0.32,N,1993-07-01,39.266666666666666,36.99666666666667,2.1702242916517234,-0.20464007974965007
159,1993,New Brunswick,August,15.2,72,0.25,N,1993-08-01,47.3,32.88666666666667,-0.7717718792852519,0.4201558235181681
160,1993,Newfoundland and Labrador,May,15.0,13,0.7,E,1993-05-01,28.866666666666667,340.4933333333334,-3.122345345245269,-0.7977381694387431
161,1993,Newfoundland and Labrador,June,20553.5,24,0.57,E,1993-06-01,23.233333333333334,3956.4066666666668,1.647695036826111,0.03246580124957708
162,1993,Newfoundland and Labrador,July,7.0,5,0.32,N,1993-07-01,15.266666666666667,5015.961599999999,-6.574470277725747,-1.1162338900179292
163,1993,Newfoundland and Labrador,August,7897.1,13,0.25,N,1993-08-01,16.433333333333334,4493.5539393333365,0.5638516915701948,-0.23436243491899805
164,1993,Northwest Territories,May,7420.85,13,0.7,E,1993-05-01,10.166666666666666,17611.68966666667,-0.8642692613021239,0.24583496251628056
165,1993,Northwest Territories,June,98077.91,175,0.57,E,1993-06-01,74.3,296274.0203466667,-1.1055226076759275,0.8566750221998006
166,1993,Northwest Territories,July,758719.67,249,0.32,N,1993-07-01,116.16666666666667,270865.54480666673,1.0300098147994992,0.7624269549322388
167,1993,Northwest Territories,August,65.82,30,0.25,N,1993-08-01,37.36666666666667,34038.66033333333,-6.248328482737654,-0.21958165974784913
168,1993,Nova Scotia,May,151.99,110,0.7,E,1993-05-01,86.6,185.45746667033328,-0.19901083636122355,0.23918055022402682
169,1993,Nova Scotia,June,8.17,20,0.57,E,1993-06-01,33.53333333333333,148.04179999833335,-2.8970257574368468,-0.516807695443538
170,1993,Nova Scotia,July,3.2,21,0.32,N,1993-07-01,30.866666666666667,34.10286666516667,-2.366230637377581,-0.385154415260601
171,1993,Nova Scotia,August,13.9,43,0.25,N,1993-08-01,28.566666666666666,28.31560000083334,-0.7115240494159263,0.4089595787579381
172,1993,Ontario,May,7675.400001,171,0.7,E,1993-05-01,178.96666666666667,21420.913333643322,-1.0263472938936458,-0.04553601225775431
173,1993,Ontario,June,95768.5,129,0.57,E,1993-06-01,214.43333333333334,73529.24666674131,0.2642505799807785,-0.5081864853871728
174,1993,Ontario,July,71.90000046,158,0.32,N,1993-07-01,273.73333333333335,45599.263333547664,-6.452370569281149,-0.549559363449702
175,1993,Ontario,August,237.3000004,144,0.25,N,1993-08-01,282.8,15268.00333374793,-4.164189467086447,-0.6749266344464172
180,1993,Quebec,May,225.6,188,0.7,E,1993-05-01,172.46666666666667,34188.71666666667,-5.020887426963257,0.08623798174613005
181,1993,Quebec,June,124307.6,98,0.57,E,1993-06-01,176.83333333333334,159924.09999999998,-0.2519401886374398,-0.5902401907153562
182,1993,Quebec,July,621.0,129,0.32,N,1993-07-01,126.86666666666666,64893.493333333354,-4.6491715589273115,0.01667573816773276
183,1993,Quebec,August,3050.1,81,0.25,N,1993-08-01,114.7,13285.800000000001,-1.4715214187229464,-0.34787086946288626
184,1993,Saskatchewan,May,352914.02,219,0.7,E,1993-05-01,132.0,82480.8007005367,1.453658910384308,0.50626980723013
185,1993,Saskatchewan,June,179581.19,216,0.57,E,1993-06-01,139.5,240441.73137799994,-0.2918503613746116,0.43721380642274466
186,1993,Saskatchewan,July,68320.54,82,0.32,N,1993-07-01,123.46666666666667,92916.68320466668,-0.30749275866330444,-0.4092519668396616
187,1993,Saskatchewan,August,3.37,30,0.25,N,1993-08-01,92.06666666666666,61460.80761933333,-9.811242231802261,-1.1213155706449265
188,1993,Yukon,May,16.87,21,0.7,E,1993-05-01,17.133333333333333,14600.006000000001,-6.763240322097371,0.20349655393041333
189,1993,Yukon,June,36330.64,45,0.57,E,1993-06-01,46.266666666666666,110718.75306666669,-1.1143317673905346,-0.0277592696342746
190,1993,Yukon,July,17759.7,48,0.32,N,1993-07-01,36.5,52139.65806666666,-1.076994004969477,0.27388875031944504
191,1993,Yukon,August,60954.4,10,0.25,N,1993-08-01,15.9,7316.592333333331,2.1199813522934594,-0.4637340162321402
192,1994,Alberta,May,2630.99,131,0.42,N,1994-05-01,293.3,109081.34033333331,-3.7247336443047976,-0.8059986527822539
193,1994,Alberta,June,6581.28,206,0.41,N,1994-06-01,246.3,43903.09533333333,-1.8977555710331508,-0.17867413633691115
194,1994,Alberta,July,17069.01,210,0.44,N,1994-07-01,262.4,27698.73566666666,-0.4841222297095086,-0.22276252635246518
195,1994,Alberta,August,1112.48,105,0.43,N,1994-08-01,179.2,14241.275333333331,-2.549552704530102,-0.5345421503833068
196,1994,British Columbia,May,730.7,212,0.42,N,1994-05-01,173.93333333333334,10548.055033333332,-2.669693786081178,0.1979141906374941
197,1994,British Columbia,June,942.9,172,0.41,N,1994-06-01,213.46666666666667,16654.6782,-2.8714861964444176,-0.2159862156409969
198,1994,British Columbia,July,15226.0,1030,0.44,N,1994-07-01,490.9,97810.56520000003,-1.8600281069519355,0.7410736401596746
199,1994,British Columbia,August,11037.9,2118,0.43,N,1994-08-01,646.1333333333333,39134.222799999996,-1.2656625422347367,1.1872216453271456
200,1994,Manitoba,May,4105.1,115,0.42,N,1994-05-01,61.733333333333334,11219.75666666667,-1.0054461092528997,0.6221080948192808
201,1994,Manitoba,June,890225.1,170,0.41,N,1994-06-01,81.1,113683.52999999998,2.058055816712546,0.7401154759288947
202,1994,Manitoba,July,352706.0,82,0.44,N,1994-07-01,96.83333333333333,65655.53333333334,1.6812129661733137,-0.1662720403596031
203,1994,Manitoba,August,158771.7,73,0.43,N,1994-08-01,69.0,21649.239999999998,1.9924969714383174,0.05635293655113178
204,1994,New Brunswick,May,170.4,89,0.42,N,1994-05-01,101.36666666666666,324.7366666666666,-0.6448659830891172,-0.13010793628306938
205,1994,New Brunswick,June,23.7,37,0.41,N,1994-06-01,48.666666666666664,407.5666666666666,-2.844729470340949,-0.2740764203960023
206,1994,New Brunswick,July,9.5,48,0.44,N,1994-07-01,39.266666666666666,36.99666666666667,-1.3595360198892834,0.2008250283585143
207,1994,New Brunswick,August,90.8,104,0.43,N,1994-08-01,47.3,32.88666666666667,1.015591978469765,0.7878806036434854
208,1994,Newfoundland and Labrador,May,50.5,15,0.42,N,1994-05-01,28.866666666666667,340.4933333333334,-1.908422210066165,-0.6546373257980697
209,1994,Newfoundland and Labrador,June,1067.9,35,0.41,N,1994-06-01,23.233333333333334,3956.4066666666668,-1.3096421027202985,0.4097600323910451
210,1994,Newfoundland and Labrador,July,109046.2,35,0.44,N,1994-07-01,15.266666666666667,5015.961599999999,3.079146497840831,0.8296762590373841
211,1994,Newfoundland and Labrador,August,106.0,35,0.43,N,1994-08-01,16.433333333333334,4493.5539393333365,-3.7469600967717396,0.756036269108879
212,1994,Northwest Territories,May,27941.01,37,0.42,N,1994-05-01,10.166666666666666,17611.68966666667,0.46153263488941454,1.2918035176989682
213,1994,Northwest Territories,June,1057680.22,185,0.41,N,1994-06-01,74.3,296274.0203466667,1.2725485467028539,0.9122448733546115
214,1994,Northwest Territories,July,1732458.96,326,0.44,N,1994-07-01,116.16666666666667,270865.54480666673,1.8556744893374122,1.0318714398342388
215,1994,Northwest Territories,August,203213.5,78,0.43,N,1994-08-01,37.36666666666667,34038.66033333333,1.7867602032346495,0.7359297852795872
216,1994,Nova Scotia,May,18.56,33,0.42,N,1994-05-01,86.6,185.45746667033328,-2.301816838211539,-0.9647922541019092
217,1994,Nova Scotia,June,9.81,28,0.41,N,1994-06-01,33.53333333333333,148.04179999833335,-2.7140923927314864,-0.1803354588223252
218,1994,Nova Scotia,July,14.59,57,0.44,N,1994-07-01,30.866666666666667,34.10286666516667,-0.849045084648568,0.6133744148505261
219,1994,Nova Scotia,August,10.53,23,0.43,N,1994-08-01,28.566666666666666,28.31560000083334,-0.9891845634066884,-0.21674632100647473
220,1994,Ontario,May,910.3000007,266,0.42,N,1994-05-01,178.96666666666667,21420.913333643322,-3.1583487661048957,0.3962967400212849
221,1994,Ontario,June,78312.2,412,0.41,N,1994-06-01,214.43333333333334,73529.24666674131,0.06302016093759218,0.6530244596006813
222,1994,Ontario,July,3517.8,59,0.44,N,1994-07-01,273.73333333333335,45599.263333547664,-2.5620557672077,-1.5346169525709494
223,1994,Ontario,August,115.8000001,55,0.43,N,1994-08-01,282.8,15268.00333374793,-4.881650066211343,-1.6374067487899469
228,1994,Quebec,May,1062.1,218,0.42,N,1994-05-01,172.46666666666667,34188.71666666667,-3.4716475872596666,0.23429108170526985
229,1994,Quebec,June,114685.7,139,0.41,N,1994-06-01,176.83333333333334,159924.09999999998,-0.33250398437957457,-0.2407337362552364
230,1994,Quebec,July,67.8,27,0.44,N,1994-07-01,126.86666666666666,64893.493333333354,-6.863940445914441,-1.5472998001896103
231,1994,Quebec,August,4.6,30,0.43,N,1994-08-01,114.7,13285.800000000001,-7.968394771177122,-1.3411226424731697
232,1994,Saskatchewan,May,1740.24,95,0.42,N,1994-05-01,132.0,82480.8007005367,-3.8585425127267343,-0.32892503098583
233,1994,Saskatchewan,June,585282.82,153,0.41,N,1994-06-01,139.5,240441.73137799994,0.88961740437913,0.09237332013101507
234,1994,Saskatchewan,July,175084.31,74,0.44,N,1994-07-01,123.46666666666667,92916.68320466668,0.6335644172438438,-0.5119061208997449
235,1994,Saskatchewan,August,64365.01,193,0.43,N,1994-08-01,92.06666666666666,61460.80761933333,0.04617046529113221,0.7401772365978037
236,1994,Yukon,May,3.91,16,0.42,N,1994-05-01,17.133333333333333,14600.006000000001,-8.225239844657974,-0.06843716155322849
237,1994,Yukon,June,74562.58,47,0.41,N,1994-06-01,46.266666666666666,110718.75306666669,-0.3953544569805957,0.015725842305464095
238,1994,Yukon,July,254867.5,113,0.44,N,1994-07-01,36.5,52139.65806666666,1.5868179517734124,1.1300755581238948
239,1994,Yukon,August,92276.26,73,0.43,N,1994-08-01,15.9,7316.592333333331,2.5346422123107635,1.5241403319222053
240,1995,Alberta,May,330663.75,213,0.14,N,1995-05-01,293.3,109081.34033333331,1.1090081524937994,-0.31990381027398035
241,1995,Alberta,June,3784.88,267,-0.03,N,1995-06-01,246.3,43903.09533333333,-2.450970644035754,0.08069835327375718
242,1995,Alberta,July,99.01,95,-0.24,N,1995-07-01,262.4,27698.73566666666,-5.633921192196649,-1.015993165469393
243,1995,Alberta,August,2109.76,26,-0.54,L,1995-08-01,179.2,14241.275333333331,-1.9095702649558746,-1.930405962519348
244,1995,British Columbia,May,17251.4,316,0.14,N,1995-05-01,173.93333333333334,10548.055033333332,0.49195181370819774,0.5970701295523937
245,1995,British Columbia,June,28238.6,281,-0.03,N,1995-06-01,213.46666666666667,16654.6782,0.527998686391423,0.2748739768792959
246,1995,British Columbia,July,427.3,277,-0.24,N,1995-07-01,490.9,97810.56520000003,-5.4333015361681145,-0.5722229348766682
247,1995,British Columbia,August,85.0,90,-0.54,L,1995-08-01,646.1333333333333,39134.222799999996,-6.13210137009058,-1.9711962105039413
248,1995,Manitoba,May,37707.6,154,0.14,N,1995-05-01,61.733333333333334,11219.75666666667,1.2121854532525527,0.9141285688696598
249,1995,Manitoba,June,789658.1,344,-0.03,N,1995-06-01,81.1,113683.52999999998,1.938181531589823,1.444958696252031
