Year,Location,Fire size class,Area_hectares,Number,Number_Percentage
2004,AB,1.1 - 10 ha,577.13,167,0.43930027620676054
2004,AB,10 000 - 100 000 ha,89629.0,5,0.013152702880441932
2004,AB,10.1 - 100 ha,1522.8,51,0.1341575693805077
2004,AB,100.1 - 1 000 ha,10724.39,29,0.0762856767065632
2004,AB,1000 - 10 000 ha,25694.9,7,0.018413784032618705
2004,AB,Over 100 000,107828.6,1,0.0026305405760883864
2004,AB,Up to 0.1 ha,26.38,979,2.57529922399053
2005,AB,0.11 - 1.0 ha,129.16,300,0.7891621728265158
2005,AB,1.1 - 10 ha,460.49,129,0.3393397343154018
2005,AB,10 000 - 100 000 ha,43000.0,1,0.0026305405760883864
2005,AB,10.1 - 100 ha,1319.7,47,0.12363540707615414
2005,AB,100.1 - 1 000 ha,2027.52,11,0.028935946336972246
2005,AB,1000 - 10 000 ha,13767.16,4,0.010522162304353546
2005,AB,Up to 0.1 ha,22.11,882,2.3201367881099566
2006,AB,0.11 - 1.0 ha,178.09,429,1.1285019071419176
2006,AB,1.1 - 10 ha,397.21,114,0.299881625674076
2006,AB,10 000 - 100 000 ha,43736.53,3,0.00789162172826516
2006,AB,10.1 - 100 ha,2569.39,66,0.17361567802183347
2006,AB,100.1 - 1 000 ha,8933.47,22,0.05787189267394449
2006,AB,1000 - 10 000 ha,62953.69,18,0.047349730369590955
2006,AB,Up to 0.1 ha,33.37,1375,3.616993292121531
2007,AB,0.11 - 1.0 ha,113.83,247,0.6497435222938314
2007,AB,1.1 - 10 ha,322.86,96,0.2525318953044851
2007,AB,10 000 - 100 000 ha,79125.5,2,0.005261081152176773
2007,AB,10.1 - 100 ha,913.14,29,0.0762856767065632
2007,AB,100.1 - 1 000 ha,3415.1,13,0.03419702748914902
2007,AB,1000 - 10 000 ha,19706.9,4,0.010522162304353546
2007,AB,Up to 0.1 ha,21.67,946,2.4884913849796133
2008,AB,0.11 - 1.0 ha,144.99,340,0.8943837958700512
2008,AB,1.1 - 10 ha,459.38,136,0.3577535183480205
2008,AB,10 000 - 100 000 ha,11600.0,1,0.0026305405760883864
2008,AB,10.1 - 100 ha,1447.81,47,0.12363540707615414
2008,AB,100.1 - 1 000 ha,3311.88,9,0.023674865184795477
2008,AB,1000 - 10 000 ha,3792.0,2,0.005261081152176773
2008,AB,Up to 0.1 ha,32.77,1187,3.122451663816914
2009,AB,0.11 - 1.0 ha,126.02,307,0.8075759568591346
2009,AB,1.1 - 10 ha,468.92,133,0.34986189661975536
2009,AB,10 000 - 100 000 ha,22297.02,2,0.005261081152176773
2009,AB,10.1 - 100 ha,1323.59,44,0.11574378534788898
2009,AB,100.1 - 1 000 ha,5528.69,16,0.04208864921741418
2009,AB,1000 - 10 000 ha,37126.69,7,0.018413784032618705
2009,AB,Up to 0.1 ha,31.91,1164,3.0619492305668814
2010,AB,0.11 - 1.0 ha,166.9,403,1.0601078521636196
2010,AB,1.1 - 10 ha,708.01,194,0.5103248717611469
2010,AB,10 000 - 100 000 ha,56557.6,2,0.005261081152176773
2010,AB,10.1 - 100 ha,1910.89,67,0.1762462185979219
2010,AB,100.1 - 1 000 ha,4295.1,13,0.03419702748914902
2010,AB,1000 - 10 000 ha,17649.4,7,0.018413784032618705
2010,AB,Up to 0.1 ha,35.14,1206,3.1724319347625936
2011,AB,0.11 - 1.0 ha,98.78,243,0.6392213599894778
2011,AB,1.1 - 10 ha,267.49,87,0.2288570301196896
